Idade,Nivel_PowerBI,Nivel_Qlik,Nivel_Tableau,Nivel_Metabase,Nivel_Looker,Nivel_Looker_Studio,Nivel_Grafana,Nivel_Pentaho,Nivel_Excel,Total_nivel,Domina_PowerBI,Domina_Qlik,Domina_Tableau,Domina_Metabase,Domina_Looker,Domina_Looker_Studio,Domina_Grafana,Domina_Pentaho,Domina_Excel,Total_Pessoas,Total_pessoas,Nivel_PowerBI_%,Nivel_Qlik_%,Nivel_Tableau_%,Nivel_Metabase_%,Nivel_Looker_%,Nivel_Looker_Studio_%,Nivel_Grafana_%,Nivel_Pentaho_%,Nivel_Excel_%,Nivel_Total_%
25-29,485.0,24.8,125.4,53.199999999999996,143.6,88.39999999999999,25.599999999999998,26.4,44.8,1017.2,473,34,139,68,188,146,42,44,74,786,1208,0.30852417302798985,0.015776081424936386,0.07977099236641222,0.03384223918575063,0.09134860050890585,0.056234096692111955,0.01628498727735369,0.01679389312977099,0.028498727735368955,0.6470737913486005
30-34,341.0,23.4,104.6,32.0,105.4,60.599999999999994,15.6,18.599999999999998,36.0,737.2,331,31,117,44,143,101,26,31,60,562,884,0.30338078291814946,0.020818505338078292,0.09306049822064057,0.028469750889679714,0.09377224199288257,0.05391459074733095,0.01387900355871886,0.016548042704626332,0.03202846975088968,0.6558718861209965
35-39,167.6,13.8,35.0,11.6,39.6,27.599999999999998,7.199999999999999,4.6,18.0,325.00000000000006,166,17,37,14,56,46,12,7,30,259,385,0.32355212355212354,0.026640926640926644,0.06756756756756757,0.022393822393822392,0.07644787644787646,0.05328185328185328,0.013899613899613899,0.00888030888030888,0.03474903474903475,0.6274131274131275
22-24,177.8,8.6,33.2,10.6,32.8,23.2,4.8,9.6,17.0,317.6,173,13,36,13,48,38,8,16,27,250,372,0.3556,0.0172,0.0664,0.0212,0.06559999999999999,0.0464,0.0096,0.0192,0.034,0.6352000000000001
40-44,66.8,7.4,21.2,6.0,17.599999999999998,10.0,4.2,3.5999999999999996,3.5999999999999996,140.39999999999998,68,9,22,8,26,16,7,6,6,105,168,0.3180952380952381,0.03523809523809524,0.10095238095238095,0.02857142857142857,0.0838095238095238,0.047619047619047616,0.02,0.01714285714285714,0.01714285714285714,0.6685714285714285
17-21,56.2,2.2,8.2,1.2,6.8,4.2,0.6,1.2,5.3999999999999995,86.00000000000001,53,3,9,2,10,7,1,2,9,73,96,0.3849315068493151,0.015068493150684932,0.056164383561643834,0.00821917808219178,0.04657534246575342,0.028767123287671233,0.00410958904109589,0.00821917808219178,0.03698630136986301,0.5890410958904111
45-49,25.6,2.8,6.0,1.2,4.8,3.5999999999999996,2.4,1.2,4.2,51.80000000000001,26,4,8,2,6,6,4,2,7,40,65,0.32,0.034999999999999996,0.075,0.015,0.06,0.045,0.03,0.015,0.052500000000000005,0.6475000000000002
50-54,10.2,0.4,2.6,1.2,3.5999999999999996,2.4,0.4,3.0,0.0,23.799999999999997,9,0,3,2,6,4,0,5,0,18,29,0.2833333333333333,0.011111111111111112,0.07222222222222223,0.03333333333333333,0.09999999999999999,0.06666666666666667,0.011111111111111112,0.08333333333333333,0.0,0.661111111111111
55+,5.0,0.6,3.2,0.0,1.2,0.6,0.0,0.0,0.6,11.2,5,1,4,0,2,1,0,0,1,7,14,0.35714285714285715,0.04285714285714286,0.2285714285714286,0.0,0.08571428571428572,0.04285714285714286,0.0,0.0,0.04285714285714286,0.7999999999999999
