P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
083f331tparwm4083fxbusb0cps0rmwa;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;RS;50-54
08f7gp5stfs0txz08fn357e56e1co6sj;0,5;0,0;0,0;0,0;1,0;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;0;1;0;0;0;0;0;0;SP;22-24
091jp2ibksf49d1cgtz0091jp2bpsxzx;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;30-34
09esdc97ebk0609es03a7nf83pw1owqg;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;BA;30-34
0aadbbqu8p2hf3a0aadbshkx5p9ty80m;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SC;35-39
0an4fvp64oeblyt70k00an4fvtn9vcle;0,5;0,0;0,0;0,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0autzixgz8xh4s7nwdw70autzmjayn79;1,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;PR;35-39
0ayla3c460hpsv520ayla3i1xyyhg350;0,0;0,0;0,0;1,0;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0;0;0;1;0;0;0;0;0;0;0;RS;22-24
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y;0,5;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0;0;0;0;0;0;0;0;0;0;0;PA;25-29
0b3av6hp5sh4tl79rh0b3avpntmyuqiu;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;RJ;30-34
0b9sb2w74o4h0f42j0b9sbk83r3d01j0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;PR;25-29
